"Mineral Name","Mineral Name (plain)","IMA Chemistry (HTML)","Chemistry Elements","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Crystal Systems","Space Groups","IMA Mineral Symbol","Paragenetic Modes"
"Argentopyrite","Argentopyrite","AgFe<sub>2</sub>S<sub>3</sub>","Ag Fe S","1866","Approved,Grandfathered","Cubanite"," ","monoclinic","P2_1/n","Agpy","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Argentotennantite-(Zn)","Argentotennantite-(Zn)","Ag<sub>6</sub>(Cu<sub>4</sub>Zn<sub>2</sub>)As<sub>4</sub>S<sub>13</sub>","Ag Cu Zn As S","1985","Approved,Redefined","Tetrahedrite","tennantite","cubic","I-43m","Atnt-Zn","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Argentotetrahedrite-(Fe)","Argentotetrahedrite-(Fe)","Ag<sub>6</sub>(Cu<sub>4</sub>Fe<sub>2</sub>)Sb<sub>4</sub>S<sub>13</sub>","Ag Cu Fe Sb S","2016","Approved,Redefined","Tetrahedrite"," ","cubic","I-43m","Attr-Fe","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Argentotetrahedrite-(Hg)","Argentotetrahedrite-(Hg)","Ag<sub>6</sub>(Cu<sub>4</sub>Hg<sub>2</sub>)Sb<sub>4</sub>S<sub>13</sub>","Ag Cu Hg Sb S","2021","Approved,Pending publication","Tetrahedrite"," ","cubic","I-43m","Attr-Hg","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Argentotetrahedrite-(Zn)","Argentotetrahedrite-(Zn)","Ag<sub>6</sub>(Cu<sub>4</sub>Zn<sub>2</sub>)Sb<sub>4</sub>S<sub>13</sub>","Ag Cu Zn Sb S","2021","Approved","Tetrahedrite"," ","cubic","I-43m","Attr-Zn","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Argesite","Argesite","(NH<sub>4</sub>)<sub>7</sub>Bi<sub>3</sub>Cl<sub>16</sub>","N H Bi Cl","2011","Approved","Not in a structural group"," ","hexagonal","R-3c","Age","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
"Argutite","Argutite","GeO<sub>2</sub>","Ge O","1980","Approved","Rutile","rutile","tetragonal","P4_2/mnm","Agt","Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Argyrodite","Argyrodite","Ag<sub>8</sub>GeS<sub>6</sub>","Ag Ge S","1886","Approved,Grandfathered","Argyrodite","argyrodite","orthorhombic","Pna2_1","Agy","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Arhbarite","Arhbarite","Cu<sub>2</sub>Mg(AsO<sub>4</sub>)(OH)<sub>3</sub>","Cu Mg As O H","1981","Approved,Redefined","Gilmarite"," ","triclinic","P1","Arh","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Ariegilatite","Ariegilatite","BaCa<sub>12</sub>(SiO<sub>4</sub>)<sub>4</sub>(PO<sub>4</sub>)<sub>2</sub>F<sub>2</sub>O","Ba Ca Si O P F","2017","Approved","Nabimusaite"," ","hexagonal","R-3m","Agi","Biotic; Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM51 - Pyrometamorphic minerals"
"Arisite-(Ce)","Arisite-(Ce)","NaCe<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>[F<sub>2x</sub>(CO<sub>3</sub>)<sub>1-x</sub>]F","Na Ce C O F","2009","Approved","Arisite"," ","hexagonal","P-6m2","Ari-Ce","Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM10 - Basalt-hosted zeolite minerals"
"Arisite-(La)","Arisite-(La)","NaLa<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>[F<sub>2x</sub>(CO<sub>3</sub>)<sub>1-x</sub>]F","Na La C O F","2009","Approved","Arisite"," ","hexagonal","P-6m2","Ari-La","Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM10 - Basalt-hosted zeolite minerals"
"Aristarainite","Aristarainite","Na<sub>2</sub>Mg[B<sub>6</sub>O<sub>8</sub>(OH)<sub>4</sub>]<sub>2</sub>·4H<sub>2</sub>O","Na Mg B O H","1973","Approved","Not in a structural group"," ","monoclinic","P2_1/a","Ais","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM25 - Evaporites (prebiotic)"
"Armalcolite","Armalcolite","(Mg,Fe<sup>2+</sup>)Ti<sub>2</sub>O<sub>5</sub>","Mg Fe Ti O","1970","Approved,Redefined","Pseudobrookite"," ","orthorhombic","Bbmm","Arm","Abiotic, Primary, Secondary; Stage 1: Primary nebular phases, PM4 - Primary chondrule phases, Stage 3a: Earth's earliest Hadean crust, PM7 - Ultramafic igneous rocks, Stage 4a: Earth's earliest continental crust, PM30 - Terrestrial impact minerals, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks, Stage 5: Initiation of plate tectonics, PM41 - Mantle metasomatism"
"Armangite","Armangite","Mn<sup>2+</sup><sub>26</sub>[As<sup>3+</sup><sub>6</sub>(OH)<sub>4</sub>O<sub>14</sub>][As<sup>3+</sup><sub>6</sub>O<sub>18</sub>]<sub>2</sub>(CO<sub>3</sub>)","Mn As O H C","1920","Approved,Grandfathered","Not in a structural group"," ","hexagonal","P-3","Amg","Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Armbrusterite","Armbrusterite","Na<sub>6</sub>K<sub>5</sub>Mn<sup>3+</sup>Mn<sup>2+</sup><sub>14</sub>(Si<sub>9</sub>O<sub>22</sub>)<sub>4</sub>(OH)<sub>10</sub>·4H<sub>2</sub>O","Na K Mn Si O H","2005","Approved","Not in a structural group"," ","monoclinic","C2/m","Abr","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration"
"Armellinoite-(Ce)","Armellinoite-(Ce)","Ca<sub>4</sub>Ce<sup>4+</sup>(AsO<sub>4</sub>)<sub>4</sub>·H<sub>2</sub>O","Ca Ce As O H","2018","Approved","Pottsite"," ","tetragonal","I4_1/a","Aml-Ce","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Armenite","Armenite","BaCa<sub>2</sub>(Al<sub>6</sub>Si<sub>9</sub>)O<sub>30</sub>·2H<sub>2</sub>O","Ba Ca Al Si O H","1939","Approved,Grandfathered","Milarite","milarite","orthorhombic","Pnna|Pnc2","Amn","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Armstrongite","Armstrongite","CaZr(Si<sub>6</sub>O<sub>15</sub>)·2H<sub>2</sub>O","Ca Zr Si O H","1972","Approved","Not in a structural group"," ","monoclinic","C2/m|C2","Asg","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Arrheniusite-(Ce)","Arrheniusite-(Ce)","CaMg[(Ce<sub>7</sub>Y<sub>3</sub>)Ca<sub>5</sub>](SiO<sub>4</sub>)<sub>3</sub>(Si<sub>3</sub>B<sub>3</sub>O<sub>18</sub>)(AsO<sub>4</sub>)(BO<sub>3</sub>)F<sub>11</sub>","Ca Mg Ce Y Si O B As F","2020","Approved","Okanoganite"," ","hexagonal","R3m","Arr-Ce","Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism, Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Arrojadite-(BaNa)","Arrojadite-(BaNa)","BaNa<sub>3</sub>(NaCa)Fe<sup>2+</sup><sub>13</sub>Al(PO<sub>4</sub>)<sub>11</sub>(PO<sub>3</sub>OH)(OH)<sub>2</sub>","Ba Na Ca Fe Al P O H","2014","Approved","Arrojadite"," ","monoclinic","C2/c","Ajd-BaNa","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Arrojadite-(KFe)","Arrojadite-(KFe)","(KNa)Fe<sup>2+</sup>(CaNa<sub>2</sub>)Fe<sup>2+</sup><sub>13</sub>Al(PO<sub>4</sub>)<sub>11</sub>(PO<sub>3</sub>OH)(OH)<sub>2</sub>","K Na Fe Ca Al P O H","1925","Approved,Renamed","Arrojadite","dickinsonite","monoclinic","B2/b|A2/a, C2/c","Ajd-KFe","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Arrojadite-(KNa)","Arrojadite-(KNa)","KNa<sub>3</sub>(CaNa<sub>2</sub>)Fe<sup>2+</sup><sub>13</sub>Al(PO<sub>4</sub>)<sub>11</sub>(PO<sub>3</sub>OH)(OH)<sub>2</sub>","K Na Ca Fe Al P O H","2005","Approved","Arrojadite","dickinsonite","monoclinic","Cc","Ajd-KNa","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Arrojadite-(PbFe)","Arrojadite-(PbFe)","PbFe<sup>2+</sup>(CaNa<sub>2</sub>)Fe<sup>2+</sup><sub>13</sub>Al(PO<sub>4</sub>)<sub>11</sub>(PO<sub>3</sub>OH)(OH)<sub>2</sub>","Pb Fe Ca Na Al P O H","2005","Approved","Arrojadite","dickinsonite","monoclinic","Cc","Ajd-PbFe","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Arrojadite-(SrFe)","Arrojadite-(SrFe)","SrFe<sup>2+</sup>(CaNa<sub>2</sub>)Fe<sup>2+</sup><sub>13</sub>Al(PO<sub>4</sub>)<sub>11</sub>(PO<sub>3</sub>OH)(OH)<sub>2</sub>","Sr Fe Ca Na Al P O H","2005","Approved","Arrojadite","dickinsonite","monoclinic","Cc","Ajd-SrFe","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
"Arsenatrotitanite","Arsenatrotitanite","NaTi(AsO<sub>4</sub>)O","Na Ti As O","2016","Approved","Titanite"," ","monoclinic","C2/c","Anttn","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
"Arsenbrackebuschite","Arsenbrackebuschite","Pb<sub>2</sub>(Fe<sup>3+</sup>,Zn)(AsO<sub>4</sub>)<sub>2</sub>(OH,H<sub>2</sub>O)","Pb Fe Zn As O H","1977","Approved","Brackebuschite","brackebuschite","monoclinic","P2_1/m","Abbs","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Arsendescloizite","Arsendescloizite","PbZn(AsO<sub>4</sub>)(OH)","Pb Zn As O H","1979","Approved","Adelite","adelite-descloizite-adelite subgroup","orthorhombic","P2_12_12_1","Adcz","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Arsenic","Arsenic","As","As","0","Approved,Grandfathered","Arsenic","arsenic","hexagonal|rhombohedral","R-3m","As","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Arseniopleite","Arseniopleite","NaCaMnMn<sub>2</sub>(AsO<sub>4</sub>)<sub>3</sub>","Na Ca Mn As O","1888","Approved","Alluaudite","alluaudite","monoclinic","I2/a","Apl","Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Arseniosiderite","Arseniosiderite","Ca<sub>2</sub>Fe<sup>3+</sup><sub>3</sub>O<sub>2</sub>(AsO<sub>4</sub>)<sub>3</sub>·3H<sub>2</sub>O","Ca Fe O As H","1842","Approved,Grandfathered","Arseniosiderite","arseniosiderite","monoclinic","A2/a","Assd","Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics, PM33 - Hydrothermal metal deposits, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Arsenmarcobaldiite","Arsenmarcobaldiite","Pb<sub>12</sub>(As<sub>3.2</sub>Sb<sub>2.8</sub>)<sub>Σ6</sub>S<sub>21</sub>","Pb As Sb S","2016","Approved","Geocronite"," ","triclinic","P-1","Amcb","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM31 - Contact metamorphism"
"Arsenmedaite","Arsenmedaite","Mn<sup>2+</sup><sub>6</sub>As<sup>5+</sup>Si<sub>5</sub>O<sub>18</sub>(OH)","Mn As Si O H","2017","Approved","Medaite"," ","monoclinic","P2_1/n","Amed","Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
"Arsenoclasite","Arsenoclasite","Mn<sup>2+</sup><sub>5</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>","Mn As O H","1931","Approved,Grandfathered","Arsenoclasite"," ","orthorhombic","P2_12_12_1","Asc","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM22 - Near-surface hydration"
"Arsenocrandallite","Arsenocrandallite","CaAl<sub>3</sub>(AsO<sub>4</sub>)(AsO<sub>3</sub>OH)(OH)<sub>6</sub>","Ca Al As O H","1980","Approved","Alunite-crandallite","alunite-jarosite-plumbogummite subgroup","hexagonal","R-3m","Acdl","Abiotic, Biotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Arsenoflorencite-(Ce)","Arsenoflorencite-(Ce)","CeAl<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>","Ce Al As O H","1985","Approved","Alunite-crandallite","alunite-jarosite-florencite subgroup","hexagonal","R3m","Aflo-Ce","Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Arsenoflorencite-(La)","Arsenoflorencite-(La)","LaAl<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>","La Al As O H","2009","Approved","Alunite-crandallite"," ","hexagonal","R-3m","Aflo-La","Abiotic, Biotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Arsenogorceixite","Arsenogorceixite","BaAl<sub>3</sub>(AsO<sub>4</sub>)(AsO<sub>3</sub>OH)(OH)<sub>6</sub>","Ba Al As O H","1989","Approved","Alunite-crandallite","alunite-jarosite-plumbogummite subgroup","hexagonal","R-3m","Agcx","Abiotic, Biotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM48 - Soil leaching zone minerals"
"Arsenogoyazite","Arsenogoyazite","SrAl<sub>3</sub>(AsO<sub>4</sub>)(AsO<sub>3</sub>OH)(OH)<sub>6</sub>","Sr Al As O H","1983","Approved","Alunite-crandallite","alunite-jarosite-plumbogummite subgroup","hexagonal","R-3m","Agoy","Abiotic, Biotic, Primary, Secondary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM48 - Soil leaching zone minerals"
"Arsenohauchecornite","Arsenohauchecornite","Ni<sub>18</sub>Bi<sub>3</sub>AsS<sub>16</sub>","Ni Bi As S","1978","Approved","hauchecornite","hauchecornite","tetragonal","P4/mmm|I4/mmm","Ahau","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Arsenohopeite","Arsenohopeite","Zn<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O","Zn As O H","2010","Approved","Hopeite"," ","orthorhombic","Pnma","Ahop","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Arsenolamprite","Arsenolamprite","As","As","1886","Approved,Grandfathered","Arsenolamprite"," ","orthorhombic|unknown","Bmab","Asl","Abiotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration, PM33 - Hydrothermal metal deposits"
"Arsenolite","Arsenolite","As<sub>2</sub>O<sub>3</sub>","As O","1854","Approved,Grandfathered","Arsenolite"," ","cubic","Fd3m|Fd-3m","Aso","Biotic, Secondary; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals, Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
"Arsenopalladinite","Arsenopalladinite","Pd<sub>8</sub>As<sub>3</sub>","Pd As","1955","Approved,Redefined","Stillwaterite"," ","triclinic","P-1","Apdn","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM26 - Hadean detrital minerals, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM37 - Layered igneous formations"
"Arsenopyrite","Arsenopyrite","FeAsS","Fe As S","1847","Approved","Arsenopyrite","arsenopyrite","monoclinic|triclinic","B2_1/d|C2_1/d, P2_1/c, P-1","Apy","Abiotic, Primary, Secondary; Stage 3b: Earth's earliest hydrosphere, PM12 - Hadean hydrothermal subsurface sulfide deposits, Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 4b: Highly evolved igneous rocks, PM36 - Carbonatites & kimberlites, PM37 - Layered igneous formations, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites, PM40 - Regional metamorphism"
"Arsenotučekite","Arsenotucekite","Ni<sub>18</sub>Sb<sub>3</sub>AsS<sub>16</sub>","Ni Sb As S","2020","Approved","hauchecornite"," ","tetragonal","I4/mmm","Atuč","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Arsenovanmeersscheite","Arsenovanmeersscheite","U(UO<sub>2</sub>)<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·4H<sub>2</sub>O","U O As H","2006","Approved"," "," ","orthorhombic","P2_1mn","Avms","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Arsenoveszelyite","Arsenoveszelyite","Cu<sub>2</sub>Zn(AsO<sub>4</sub>)(OH)<sub>3</sub>·2H<sub>2</sub>O","Cu Zn As O H","2022","Approved,Pending publication","Veszelyite"," ","monoclinic","P2_1/c","Avsz","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Arsenowagnerite","Arsenowagnerite","Mg<sub>2</sub>(AsO<sub>4</sub>)F","Mg As O F","2014","Approved","Wagnerite"," ","monoclinic","P2_1/c","Awag","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
"Arsenquatrandorite","Arsenquatrandorite","Ag<sub>17.6</sub>Pb<sub>12.8</sub>Sb<sub>38.1</sub>As<sub>11.5</sub>S<sub>96</sub>","Ag Pb Sb As S","2012","Approved,Pending publication","Lillianite"," ","monoclinic","P2_1/c","Aado","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Arsentsumebite","Arsentsumebite","Pb<sub>2</sub>Cu(AsO<sub>4</sub>)(SO<sub>4</sub>)(OH)","Pb Cu As O S H","1935","Approved,Grandfathered","Brackebuschite","brackebuschite","monoclinic","P2_1/m","Atsu","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Arsenudinaite","Arsenudinaite","NaMg<sub>4</sub>(AsO<sub>4</sub>)<sub>3</sub>","Na Mg As O","2018","Approved,Pending publication"," "," ","tetragonal","I-42d","Audn","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
"Arsenuranospathite","Arsenuranospathite","Al(UO<sub>2</sub>)<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>F·20H<sub>2</sub>O","Al U O As F H","1978","Approved"," ","autunite","tetragonal|orthorhombic","Pmmm|P4_2/n","Aush","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Arsenuranylite","Arsenuranylite","Ca(UO<sub>2</sub>)<sub>4</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>·6H<sub>2</sub>O","Ca U O As H","1958","Approved,Grandfathered","Phosphuranylite","phosphuranylite","orthorhombic","Bmmb","Auy","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Arsiccioite","Arsiccioite","AgHg<sub>2</sub>TlAs<sub>2</sub>S<sub>6</sub>","Ag Hg Tl As S","2013","Approved","Routhierite"," ","tetragonal","I-42m","Asi","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Arsmirandite","Arsmirandite","Na<sub>18</sub>Cu<sub>12</sub>Fe<sup>3+</sup>O<sub>8</sub>(AsO<sub>4</sub>)<sub>8</sub>Cl<sub>5</sub>","Na Cu Fe O As Cl","2014","Approved","Arsmirandite"," ","monoclinic","C2/m","Asm","Biotic; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals"
"Arthurite","Arthurite","CuFe<sup>3+</sup><sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·4H<sub>2</sub>O","Cu Fe As O H","1964","Approved","Arthurite","arthurite","monoclinic","P2_1/c","Atu","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Artinite","Artinite","Mg<sub>2</sub>(CO<sub>3</sub>)(OH)<sub>2</sub>·3H<sub>2</sub>O","Mg C O H","1902","Approved,Grandfathered","Artinite"," ","monoclinic","C2/m","Art","Abiotic, Biotic, Secondary; Stage 3b: Earth's earliest hydrosphere, PM13 - Hadean serpentinization, Stage 5: Initiation of plate tectonics, PM38 - Ophiolites, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Artroeite","Artroeite","PbAlF<sub>3</sub>(OH)<sub>2</sub>","Pb Al F O H","1993","Approved"," "," ","triclinic","P-1","Ate","Biotic, Secondary; Stage 7: Great Oxidation Event, PM45 - Oxidized fumarolic minerals, PM47 - Low-T subaerial oxidative hydration/weathering"
"Artsmithite","Artsmithite","Hg<sup>1+</sup><sub>4</sub>Al(PO<sub>4</sub>)<sub>1.74</sub>(OH)<sub>1.78</sub>","Hg Al P O H","2002","Approved"," "," ","monoclinic","C2/c","Ash","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Arupite","Arupite","Ni<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O","Ni P O H","1988","Approved","Vivianite","vivianite","monoclinic","I2/m|C2/m","Arp","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Arzrunite","Arzrunite","Pb<sub>2</sub>Cu<sub>4</sub>(SO<sub>4</sub>)(OH)<sub>4</sub>Cl<sub>6</sub>·2H<sub>2</sub>O","Pb Cu S O H Cl","1899","Approved,Questionable mineral species"," "," ","","","Arz","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Asbecasite","Asbecasite","Ca<sub>3</sub>TiAs<sub>6</sub>Be<sub>2</sub>Si<sub>2</sub>O<sub>20</sub>","Ca Ti As Be Si O","1965","Approved","Not in a structural group"," ","hexagonal","P-3c1","Abc","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Asbolane","Asbolane","Mn<sup>4+</sup>(O,OH)<sub>2</sub>·(Co,Ni,Mg,Ca)<sub>x</sub>(OH)<sub>2x</sub>·nH<sub>2</sub>O","Mn O H Co Ni Mg Ca","1841","Approved,Grandfathered","Not in a structural group"," ","hexagonal","","Asb","Abiotic, Biotic, Primary, Secondary; Stage 3b: Earth's earliest hydrosphere, PM16 - Low-T aqueous alteration, Stage 5: Initiation of plate tectonics, PM42 - Sea-floor Mn nodules, Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Aschamalmite","Aschamalmite","Pb<sub>6-3x</sub>Bi<sub>2+x</sub>S<sub>9</sub>","Pb Bi S","1982","Approved","Lillianite"," ","monoclinic|orthorhombic","C2/m","Ahm","Abiotic, Primary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits"
"Ashburtonite","Ashburtonite","HCu<sub>4</sub>Pb<sub>4</sub>Si<sub>4</sub>O<sub>12</sub>(HCO<sub>3</sub>)<sub>4</sub>(OH)<sub>4</sub>Cl","H Cu Pb Si O C Cl","1990","Approved","Cerchiaraite"," ","tetragonal","I4/m","Ahb","Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration"
"Ashcroftine-(Y)","Ashcroftine-(Y)","K<sub>5</sub>Na<sub>5</sub>Y<sub>12</sub>Si<sub>28</sub>O<sub>70</sub>(OH)<sub>2</sub>(CO<sub>3</sub>)<sub>8</sub>·8H<sub>2</sub>O","K Na Y Si O H C","1933","Approved,Renamed","Not in a structural group"," ","tetragonal","I4/mmm","Acf-Y","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
"Ashoverite","Ashoverite","Zn(OH)<sub>2</sub>","Zn O H","1986","Approved"," "," ","tetragonal","I4_1/amd","Aov","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM56 - Slag and smelter minerals"
"Asimowite","Asimowite","Fe<sub>2</sub>SiO<sub>4</sub>","Fe Si O","2018","Approved","Wadsleyite"," ","orthorhombic","Imma","Amw","Abiotic, Secondary; Stage 2: Planetesimal differentiation & alteration, PM6 - Secondary asteroid phases"
"Asisite","Asisite","Pb<sub>7</sub>SiO<sub>8</sub>Cl<sub>2</sub>","Pb Si O Cl","1987","Approved","Asisite"," ","tetragonal","I4/mmm","Ass","Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
"Åskagenite-(Nd)","Askagenite-(Nd)","Mn<sup>2+</sup>Nd(Al<sub>2</sub>Fe<sup>3+</sup>)[Si<sub>2</sub>O<sub>7</sub>][SiO<sub>4</sub>]O<sub>2</sub>","Mn Nd Al Fe Si O","2009","Approved","Epidote"," ","monoclinic","P2_1/m","Åsk-Nd","Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM34 - Complex granite pegmatites"
